type,var1,var2,var3
hatchback,10,20,high
sedan,10,20,high
stationwagen,10,20,high
cabriolet,10,20,high
Niet geregistreerd,10,20,high
kampeerwagen,10,20,high
opleggertrekker,10,20,high
terreinvoertuig,10,20,high
coupe,10,20,high
gesloten opbouw,10,20,high
MPV,10,20,high
open wagen,10,20,high
voor rolstoelen toegankelijk voertuig,10,20,high
voor vervoer voertuigen,10,20,high
detailhandel/expositiedoel.,10,20,high
veewagen,10,20,high
ambulance,10,20,high
gecond. met temperatuurreg.,10,20,high
neerklapbare zijschotten,10,20,high
driewielig motorrijtuig (L7e),10,20,high
pick-up truck,10,20,high
geconditioneerd voertuig,10,20,high
driewielig motorrijtuig (L5e),10,20,high
takelwagen,10,20,high
limousine,10,20,high
truckstationwagen,10,20,high
kipper,10,20,high
medische hulpwagen,10,20,high
speciale groep,10,20,high
open laadvloer,10,20,high
lijkwagen,10,20,high
vuilniswagen,10,20,high
voor vervoer personen,10,20,high
gecond. zndr temperatuurreg.,10,20,high
huifopbouw,10,20,high
hoogwerker,10,20,high
niet nader aangeduid,10,20,high
resteelwagen,10,20,high
voor vervoer boten,10,20,high
gepantserd voertuig,10,20,high
afneembare bovenbouw,10,20,high
ladderwagen,10,20,high
"straatvgr,reiniger,rioolzgr",10,20,high
servicewagen,10,20,high
compressor,10,20,high
kolkenzuiger,10,20,high
taxi,10,20,high
chassis cabine,10,20,high
mobiele kraan,10,20,high
bergingsvoertuig,10,20,high
vervoer van uitzond. Lading,10,20,high
containercarrier,10,20,high
brandweerwagen,10,20,high
voertuig met haakarm,10,20,high
tankwagen,10,20,high
aanhangwagentrekker,10,20,high
caravan,10,20,high
bus,10,20,high
N.v.t.,10,20,high
driezijdige kipper,10,20,high
kaal chassis,10,20,high
koelwagen,10,20,high
asfaltkipper,10,20,high
achterwaartse kipper,10,20,high
open wagen met vast dak,10,20,high
betonmixer,10,20,high
v.vervoer zweefvliegtuigen,10,20,high
betonpomp,10,20,high
straatveegwagen,10,20,high
destructorwagen,10,20,high
boorwagen,10,20,high
dieplader,10,20,high
verhuiswagen,10,20,high
tank v.v. gevaarl. Stoffen,10,20,high
open met kraan,10,20,high
voor vervoer wissellaadbakken,10,20,high
keetwagen,10,20,high
kantoorwagen,10,20,high
geluidswagen,10,20,high
afzetbak,10,20,high
meetwagen,10,20,high
voor vervoer boomstammen,10,20,high
gedeeltelijk open wagen,10,20,high
woonwagen,10,20,high
demonstratiewagen,10,20,high
kraanwagen,10,20,high
aanhangw. Met stijve dissel,10,20,high
reparatiewagen,10,20,high
sproeiwagen,10,20,high
montagewagen,10,20,high
mobiele zender,10,20,high
faecalienwagen,10,20,high
vrieswagen,10,20,high
tweezijdige kipper,10,20,high
dolly,10,20,high
