County,FIPS,Age-Adjusted Incidence Rate,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"US (SEER+NPCR)(1,10)",0,62.4,62.3,62.6,214614,falling,-2.5,-3,-2
"Autauga County, Alabama(6,10)",1001,74.9,65.1,85.7,43,stable,0.5,-14.9,18.6
"Baldwin County, Alabama(6,10)",1003,66.9,62.4,71.7,170,stable,3,-10.2,18.3
"Barbour County, Alabama(6,10)",1005,74.6,61.8,89.4,25,stable,-6.4,-18.3,7.3
"Bibb County, Alabama(6,10)",1007,86.4,71,104.2,23,stable,-4.5,-31.4,32.9
"Blount County, Alabama(6,10)",1009,69.7,61.2,79,51,stable,-13.6,-27.8,3.4
"Bullock County, Alabama(6,10)",1011,65.8,47.3,89.6,9,stable,7.2,-27.6,58.7
"Butler County, Alabama(6,10)",1013,58.3,46.4,72.7,17,stable,2,-10.7,16.6
"Calhoun County, Alabama(6,10)",1015,84.2,77.5,91.3,120,stable,-3.8,-13.9,7.5
"Chambers County, Alabama(6,10)",1017,75.4,64.4,87.9,34,falling,-7.9,-8.5,-7.3
"Cherokee County, Alabama(6,10)",1019,82.4,69.8,96.9,32,stable,7.1,-13,31.7
"Chilton County, Alabama(6,10)",1021,73.9,63.7,85.4,39,stable,-0.2,-17.6,20.8
"Choctaw County, Alabama(6,10)",1023,49.2,36.3,66,10,stable,9.7,-31.4,75.3
"Clarke County, Alabama(6,10)",1025,69.5,57.3,83.7,23,stable,-1.3,-12.4,11.1
"Clay County, Alabama(6,10)",1027,83.3,65.8,104.5,16,stable,-13.8,-30.7,7.2
"Cleburne County, Alabama(6,10)",1029,74.9,58.1,95.4,14,stable,4.8,-20.1,37.4
"Coffee County, Alabama(6,10)",1031,71.5,62.3,81.9,43,stable,-7.2,-20,7.6
"Colbert County, Alabama(6,10)",1033,75.9,67.2,85.5,57,stable,-4.4,-15.6,8.3
"Conecuh County, Alabama(6,10)",1035,73.5,57.1,93.8,14,stable,-9.7,-41.4,39.2
"Coosa County, Alabama(6,10)",1037,82.6,63.9,106,14,stable,-11.5,-43.5,38.7
"Covington County, Alabama(6,10)",1039,83,72.3,95.1,44,stable,5.7,-11.2,25.9
"Crenshaw County, Alabama(6,10)",1041,61.5,46.3,80.6,11,stable,14.7,-21.8,68.4
"Cullman County, Alabama(6,10)",1043,69.6,62.6,77.3,73,stable,-2.2,-20.4,20.3
"Dale County, Alabama(6,10)",1045,76.7,66.7,87.7,44,stable,-3.2,-11.4,5.7
"Dallas County, Alabama(6,10)",1047,76.2,65.6,88,39,stable,7.4,-16.9,38.8
"DeKalb County, Alabama(6,10)",1049,60.8,53.5,68.9,51,stable,-2.1,-11.9,8.8
"Elmore County, Alabama(6,10)",1051,78.1,69.7,87.2,66,stable,-3.4,-13.9,8.4
"Escambia County, Alabama(6,10)",1053,75.5,64.8,87.6,36,stable,0,-21.5,27.2
"Etowah County, Alabama(6,10)",1055,81.9,75.1,89.1,110,stable,-0.1,-9.8,10.6
"Fayette County, Alabama(6,10)",1057,77.3,62.3,95.3,19,stable,-6.1,-36.5,38.8
"Franklin County, Alabama(6,10)",1059,72.4,60.7,85.8,28,stable,-3.2,-18.9,15.6
"Geneva County, Alabama(6,10)",1061,90.3,77.2,105.2,35,stable,-2.7,-16.1,12.8
"Greene County, Alabama(6,10)",1063,87.9,65,117,10,stable,10.2,-28.3,69.3
"Hale County, Alabama(6,10)",1065,71,55,90.6,14,stable,1.8,-25.5,39
"Henry County, Alabama(6,10)",1067,66.5,52.7,83.3,17,falling,-14.3,-24.3,-2.9
"Houston County, Alabama(6,10)",1069,70.8,64.2,77.8,88,stable,-2.3,-6.7,2.2
"Jackson County, Alabama(6,10)",1071,80.9,71.7,91.1,58,stable,-2.6,-14.7,11.3
"Jefferson County, Alabama(6,10)",1073,65.1,62.5,67.8,482,falling,-1.8,-3.3,-0.3
"Lamar County, Alabama(6,10)",1075,80.4,64,100.3,17,stable,4.1,-14.5,26.6
"Lauderdale County, Alabama(6,10)",1077,69.3,62.9,76.3,87,stable,-1.3,-8.2,6.1
"Lawrence County, Alabama(6,10)",1079,88.1,75.6,102.3,37,stable,-9,-28.3,15.3
"Lee County, Alabama(6,10)",1081,59.4,53.2,66.1,71,stable,0.3,-4.6,5.6
"Limestone County, Alabama(6,10)",1083,73.4,65.7,81.8,69,stable,-2.7,-11.3,6.6
"Lowndes County, Alabama(6,10)",1085,57.6,41.1,79,8,stable,-14.5,-42.7,27.6
"Macon County, Alabama(6,10)",1087,57.9,45.3,73.3,15,stable,-6.1,-37.2,40.5
"Madison County, Alabama(6,10)",1089,64.8,61.1,68.6,236,falling,-4.6,-7.2,-1.9
"Marengo County, Alabama(6,10)",1091,61.6,49.3,76.4,17,stable,0.1,-9,10.1
"Marion County, Alabama(6,10)",1093,74.2,63.1,86.9,33,stable,1.2,-12.5,17.1
"Marshall County, Alabama(6,10)",1095,79.4,72.1,87.2,90,stable,-5.3,-12.6,2.6
"Mobile County, Alabama(6,10)",1097,75.4,71.9,79.1,347,stable,-2.1,-6.5,2.4
"Monroe County, Alabama(6,10)",1099,62.3,50.2,76.7,19,stable,-8.5,-26.5,13.9
"Montgomery County, Alabama(6,10)",1101,61,56.5,65.6,144,falling,-9.6,-15.1,-3.8
"Morgan County, Alabama(6,10)",1103,80.4,74,87.4,116,stable,-3.2,-12,6.4
"Perry County, Alabama(6,10)",1105,83.1,62.5,108.8,11,stable,-5,-20.5,13.6
"Pickens County, Alabama(6,10)",1107,65.6,52.8,81,18,stable,-13.2,-26.2,2
"Pike County, Alabama(6,10)",1109,61.8,50.5,74.9,22,stable,-11.9,-35.2,19.8
"Randolph County, Alabama(6,10)",1111,75.5,62.2,91,24,stable,-8.5,-27.8,16
"Russell County, Alabama(6,10)",1113,78.7,68.8,89.6,47,stable,-3.6,-15.4,9.7
"St. Clair County, Alabama(6,10)",1115,74.7,67.1,83.1,72,stable,-2.3,-6.9,2.5
"Shelby County, Alabama(6,10)",1117,57.1,52.2,62.2,108,stable,-6.1,-15,3.8
"Sumter County, Alabama(6,10)",1119,55.5,40.5,74.7,9,stable,-2.3,-30.3,37.1
"Talladega County, Alabama(6,10)",1121,74,66.5,82.1,74,stable,2.5,-1.9,7.1
"Tallapoosa County, Alabama(6,10)",1123,70.5,61,81.3,41,stable,2,-12.1,18.3
"Tuscaloosa County, Alabama(6,10)",1125,72.3,66.9,78.1,135,stable,-4.1,-11.4,3.7
"Walker County, Alabama(6,10)",1127,98.3,89.2,108.1,89,stable,0.1,-9.9,11.2
"Washington County, Alabama(6,10)",1129,74.8,58.9,93.9,16,stable,-0.5,-23.4,29.2
"Wilcox County, Alabama(6,10)",1131,73.2,54.4,96.7,11,stable,-6.2,-24,15.8
"Winston County, Alabama(6,10)",1133,90.8,76.9,106.7,31,stable,-12.5,-23.7,0.4
"Anchorage Borough, Alaska(6,10)",2020,61.5,56.5,66.8,131,stable,-6.5,-12.8,0.3
"Bethel Census Area, Alaska(6,10)",2050,62.7,40.3,91.9,6,stable,-26.1,-50.8,11.1
"Fairbanks North Star, Alaska(6,10)",2090,58.1,49.1,68,36,stable,-8.4,-19.1,3.6
"Juneau Borough, Alaska(6,10)",2110,35.1,24.8,47.9,9,stable,3.5,-12.3,22.2
"Kenai Peninsula Borough, Alaska(6,10)",2122,64.9,55.4,75.4,39,stable,-12.8,-26.4,3.4
"Ketchikan Gateway Borough, Alaska(6,10)",2130,88.3,65.7,115.9,12,stable,-16.9,-32.5,2.3
"Kodiak Island Borough, Alaska(6,10)",2150,74.7,48.8,108.2,7,stable,-19.2,-36.4,2.7
"Matanuska-Susitna Borough, Alaska(6,10)",2170,69.7,60.6,79.7,51,stable,1.8,-9.7,14.7
"Nome Census Area, Alaska(6,10)",2180,103.6,68.4,148.9,6,stable,-15.3,-54.8,58.8
"North Slope Borough, Alaska(6,10)",2185,153.4,95.2,229.4,6,stable,0.2,-34.3,52.7
"Prince of Wales-Outer Ketchikan, Alaska(6,10)",2201,81.4,48.2,128.5,4,stable,-6.6,-36.7,37.8
"Sitka Borough, Alaska(6,10)",2220,44,26.6,68.5,4,stable,34.9,-6.6,94.7
"Southeast Fairbanks Census Area, Alaska(6,10)",2240,76.8,48.1,116,5,stable,4.4,-40.6,83.3
"Valdez-Cordova Census Area, Alaska(6,10)",2261,66.1,41.1,99.9,6,stable,-9.8,-32.9,21.3
"Wrangell-Petersburg Census Area, Alaska(6,10)",2280,78.8,51.9,115.6,6,stable,-17.3,-48.3,32.2
"Apache County, Arizona(6,10)",4001,22.9,18.1,28.5,16,rising,13.4,2.4,25.5
"Cochise County, Arizona(6,10)",4003,46.9,42.5,51.8,84,stable,0.9,-4.7,6.8
"Coconino County, Arizona(6,10)",4005,36.7,31.5,42.4,39,stable,-1.3,-26.6,32.9
"Gila County, Arizona(6,10)",4007,54.3,47.7,61.7,52,stable,-10.5,-24.4,6
"Graham County, Arizona(6,10)",4009,45.5,36,56.7,16,stable,-5.2,-31.1,30.2
"Greenlee County, Arizona(6,10)",4011,64,42.5,92.5,6,stable,-7.1,-31.5,26.1
"La Paz County, Arizona(6,10)",4012,54.4,44.1,67.2,25,stable,-5.7,-27.3,22.4
"Maricopa County, Arizona(6,10)",4013,52.2,51.2,53.2,2059,falling,-4,-5.5,-2.4
"Mohave County, Arizona(6,10)",4015,76.6,72.6,80.9,280,stable,-0.7,-12.7,13
"Navajo County, Arizona(6,10)",4017,39.6,34.5,45.2,46,stable,-1.1,-14.9,14.9
"Pima County, Arizona(6,10)",4019,50.9,49.1,52.7,628,stable,-1.8,-7.4,4.1
"Pinal County, Arizona(6,10)",4021,45.5,42.7,48.5,201,falling,-5.2,-9.5,-0.6
"Santa Cruz County, Arizona(6,10)",4023,36.1,29,44.4,19,stable,-16.4,-48,34.4
